Retailer,Scope,L1,L2,L3,L4,L5,L6,Count,Level,Category ID,Count Source,Node Type,Sub-categories,Has Deeper Levels,Name Source,Found In,URL,Notes
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Water Coolers & Jugs,,,,26,3,water-coolers-and-jugs,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/water-coolers-and-jugs,
Scheels,Hydration & Drinkware,Home & Yard,Drinkware,Wine Glasses & Tumblers,,,,2,3,wine-glasses-and-tumblers,"Scheels live, 25 Sep 2026",Category,0,No,Scheels site menu,Site menu + category page,https://www.scheels.com/c/wine-glasses-and-tumblers,
Michaels,Labels & Packaging Accessories,Baking & Kitchen,,,,,,,1,845009276,,Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/baking-kitchen,
Michaels,Labels & Packaging Accessories,Baking & Kitchen,Packaging & Display,,,,,1073,2,809188274,"Michaels live, 25 Sep 2026",Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/baking-kitchen/packaging-display,
Michaels,Labels & Packaging Accessories,Baking & Kitchen,Packaging & Display,Packaging Accessories,,,,42,3,809188282,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/baking-kitchen/packaging-display/packaging-accessories,
Michaels,Labels & Packaging Accessories,Craft Machines,,,,,,,1,20000802,,Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/craft-machines,
Michaels,Labels & Packaging Accessories,Craft Machines,Label Makers,,,,,129,2,20001254,"Michaels live, 25 Sep 2026",Category,1,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/craft-machines/label-makers,
Michaels,Labels & Packaging Accessories,Craft Machines,Label Makers,Label Maker Accessories,,,,102,3,20003051,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/craft-machines/label-makers/label-maker-accessories,
Michaels,Labels & Packaging Accessories / Planning & Craft Organization,Office Supplies,,,,,,,1,,,Department (parent of scope),2,No,Michaels page breadcrumb,Parent of scope,https://www.michaels.com/shop/office-supplies,
Michaels,Planning & Craft Organization,Office Supplies,Calendars & Planners,,,,,991,2,20001810,"Michaels live, 25 Sep 2026",Category,3,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/calendars-planners,
Michaels,Planning & Craft Organization,Office Supplies,Calendars & Planners,Desk Calendars,,,,140,3,20001811,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/calendars-planners/desk-calendars,
Michaels,Planning & Craft Organization,Office Supplies,Calendars & Planners,Planners,,,,180,3,,"Michaels live, 25 Sep 2026",Category,0,No,Michaels site menu,Site menu,https://www.michaels.com/shop/office-supplies/calendars-planners/planners,Linked from the Michaels menu; not in the page taxonomy payload
